Threads,Elapsed time,User time,System time
1,4:13:32,1559.34,626.10
2,2:10:51,630.60,277.50
2,2:08:19,621.15,271.32
4,1:30:30,364.14,163.08
4,1:29:00,360.27,157.54
4,1:28:57,355.54,159.76
4,1:28:40,357.22,160.11
8,1:14:16,186.82,83.24
8,1:13:56,192.65,81.42
8,1:14:10,190.09,82.40
8,1:11:58,174.00,78.76
8,1:10:43,174.94,75.96
8,1:14:24,190.82,84.01
8,1:13:16,184.80,81.01
8,1:13:16,179.15,79.43
16,1:05:13,97.90,43.74
16,1:04:49,97.61,43.72
16,1:04:32,97.84,45.42
16,1:04:44,100.72,45.34
16,1:05:48,102.66,45.43
16,1:03:52,95.63,43.91
16,1:02:57,95.16,41.63
16,0:59:11,86.27,42.82
16,0:54:13,78.91,37.18
16,1:05:50,102.16,47.34
16,1:05:28,98.72,46.74
16,1:04:55,96.56,45.40
16,1:04:32,90.86,43.90
16,1:04:36,99.89,44.81
16,0:59:31,89.25,42.61
16,1:05:03,96.91,44.42
